0001,0001,0.37
0001,1011,4.41
1011,0101,-6.76
0101,1100,6.22
1100,0101,-7.2
0101,0111,0.0
0111,0110,0.61
0110,1011,0.15
1011,0010,0.19
0010,1001,-2.23
1001,0111,-0.15
0111,1010,0.21
1010,0001,-1.75
0001,1011,4.94
1011,1111,0.0
1111,0010,0.36
0010,1000,-0.38
1000,0010,0.01
0010,0110,-0.53
0110,1001,-2.86
1001,0011,6.39
0011,0100,0.15
0100,0001,0.93
0001,1001,-0.14
1001,0000,-0.24
1111,1010,0.04
1010,0110,0.78
0110,0000,-0.73
0000,0010,-0.01
0010,1100,1.0
1100,0000,-1.42
0000,1001,-0.07
0100,1001,-0.03
1001,1100,0.09
1100,0010,0.22
0010,0001,-1.94
0001,0100,-0.09
0100,0111,0.29
0111,1010,-0.36
1010,0010,0.07
0010,1011,0.63
1011,1101,-5.76
1101,0011,0.31
1111,0011,0.26
0011,0111,0.1
0111,0100,-0.01
0100,1000,-0.19
1000,0001,0.13
0001,0101,-0.22
0101,0110,0.21
0110,1101,3.83
1101,0011,-0.62
0011,1010,0.18
1010,0100,-1.51
0100,0001,-0.09
0001,0010,-0.01
0010,0101,-0.62
0101,1000,-0.14
1000,0101,-0.42
0101,0000,0.08
0000,1101,0.34
1010,0110,-0.89
0110,1001,-2.62
1001,0101,0.2
0101,0111,0.31
0111,0000,-0.01
0000,1011,4.55
1011,1110,0.54
1110,0010,0.15
0010,0001,-3.73
0001,0011,7.21
0011,0010,0.47
0010,0111,-0.24
0111,1101,-12.12
1101,1100,8.78
1100,1011,2.49
1011,0010,-0.04
0010,0001,-2.53
0001,0111,0.93
0111,0010,0.4
0010,0011,0.05
0011,1111,2.46
1111,0000,0.25
0000,1110,3.88
1110,0000,0.64
0011,1111,0.84
1111,0000,-0.39
0000,1100,1.11
1100,0010,-0.06
0010,1101,0.88
1101,1010,0.37
0000,1011,3.66
1011,0001,-4.84
0001,0001,0.04
0001,1101,0.51
1101,1110,-0.43
1110,1011,0.56
1001,1110,0.57
1110,1101,-0.68
1101,1000,0.61
1000,1011,-0.98
1011,0011,0.06
0011,0100,-0.02
0100,0110,0.04
0110,0111,-0.41
0111,0101,-0.02
0101,1010,0.28
1010,0111,-2.36
0111,1001,-1.48
1101,1010,0.02
1010,1101,-1.34
1101,1100,-0.69
1100,1010,1.51
1110,0111,-2.52
0111,1011,-0.21
0101,0010,0.18
0010,1000,0.0
1000,1011,4.61
1011,1001,-5.2
1001,1100,-0.02
1100,1111,5.65
1001,0001,0.01
0001,1101,0.67
1101,0011,2.29
0011,1110,1.83
1110,1000,0.56
1000,1101,-0.28
1101,1100,-0.3
1100,1111,3.38
1111,1111,-0.26
0110,0011,6.5
0011,1000,-0.35
1000,1101,-0.04
1101,0001,-0.21
0001,0111,1.55
0111,1000,-0.3
1000,1010,-0.12
1010,0011,-0.01
0011,0101,-1.63
1100,1000,-0.1
1000,1101,0.01
1010,0111,-0.77
0111,0010,-0.51
0010,0110,-0.16
0110,1100,3.14
1100,1101,0.16
1101,1110,0.1
1110,1001,-1.73
1001,0011,2.75
0011,0011,0.23
0011,0101,-0.38
0101,0000,-0.5
0000,1100,1.04
1100,1000,0.05
1000,1000,-0.07
1000,1000,0.1
1000,0100,0.51
0100,0111,0.34
0111,0001,-5.39
0001,1010,0.09
1010,0000,-0.35
0000,0110,0.04
0110,1010,0.41
1010,0100,4.7
0100,1011,-0.95
1011,0100,-1.32
0100,0110,0.03
0110,1010,-0.09
1010,1000,0.12
0011,1101,-2.49
1101,0001,0.55
0001,1110,0.53
1110,1000,-0.2
1000,1001,-0.21
1001,1000,0.39
1000,1100,0.22
1100,0111,-1.02
0111,0101,0.01
0101,0000,-0.08
0000,0010,-0.07
0010,0101,0.15
0101,1011,4.02
1011,1101,-15.71
1101,1001,0.34
1001,1100,1.28
1100,0010,-0.44
0010,1110,11.12
1110,1011,0.02
1011,1011,0.02
1011,0010,-0.01
0010,1110,1.22
0110,1011,-0.53
1011,1011,-0.47
1011,0011,0.1
0011,0010,0.86
0010,0011,-0.88
0011,1111,3.58
1111,0111,-2.51
0111,0100,-1.42
0100,1101,0.88
1101,1111,3.76
1111,1000,0.25
1000,1111,4.64
1111,1111,-0.09
1111,1100,0.15
0010,0010,-0.07
0010,1111,5.71
1111,0010,0.3
0010,1010,0.05
1010,0010,0.06
0010,0001,-4.88
0001,0010,-0.06
0010,1100,1.37
1100,1101,0.01
1101,1001,-0.24
1001,1000,0.03
1000,1110,0.14
1110,1101,-2.33
1101,0011,3.14
0011,0101,-2.3
0101,1101,0.36
1101,1110,-0.0
1110,1000,0.16
1000,1100,-0.04
1100,0001,-0.38
0001,0011,5.64
0011,1010,0.81
0000,0101,-0.05
0101,1100,1.86
1100,0101,0.35
0101,1010,-0.05
1010,1001,-3.2
1001,1011,4.82
1011,1101,-5.86
1101,1001,0.03
1001,1111,5.94
1111,0110,-3.7
0110,1001,-1.54
1001,1110,-0.04
1110,0101,-4.47
0101,0011,1.4
0011,0101,-0.92
0101,1011,4.64
1011,1010,-2.6
1110,0000,0.03
0000,1011,0.14
1011,1110,-0.1
0011,1001,-2.93
1001,0001,-0.24
0001,1111,7.53
1111,1001,-3.5
1001,0010,0.47
0010,1010,0.07
1010,1101,-4.84
1101,1100,-0.01
1100,0010,0.23
0010,0000,-0.33
0000,0100,0.0
0100,0000,0.32
0000,1010,-0.16
1010,0001,-2.63
0001,0011,5.05
0011,0110,0.76
0110,1000,-0.14
1000,0001,0.0
0001,1010,-0.12
1010,0101,-1.2
0101,1110,0.41
1110,0000,-0.09
0000,0000,0.41
0000,0101,-0.3
0101,0100,0.11
0100,0001,-0.03
0001,1111,7.67
1111,1100,-0.08
1100,1101,0.26
1101,0010,-0.23
0010,1011,0.04
1011,0100,-0.84
